user_id,product_id,create_time,update_time
d59c28ee1dd34c05a59a3e21a112215c,cbe439ee1233499aa67885bf70af8a30,2021-11-04 11:55:15,2021-11-04 11:55:15
7bbcd4290a144efbae687a5b74790f17,be67a3d56fb4443e9215d711670d233b,2021-08-23 11:08:44,2021-08-23 11:08:44
b952899406e94a7c9b690cc7bbf08ee5,5a739439be924825996251baa7533465,2022-01-15 11:32:34,2022-01-15 11:32:34
7bbcd4290a144efbae687a5b74790f17,9680de98decc4e4ab827cfc2135da772,2021-08-22 12:40:53,2021-08-22 12:40:53
7bbcd4290a144efbae687a5b74790f17,1f208550c828477db7048053ad07d74f,2021-07-23 21:15:48,2021-07-23 21:15:48
84f496f59c2c4d31a196c3b1bd994a16,325970f4c48c47c1959a4827d34e5435,2021-12-10 10:03:59,2021-12-10 10:03:59
9880b57d988b4672bcad2a3ffe32a3ec,be67a3d56fb4443e9215d711670d233b,2021-07-27 05:50:10,2021-07-27 05:50:10
a345c04ab8a24cefa1d0b88c94e78390,5621853e0f964fb0b1aa10e5e87c7d2c,2021-08-21 21:44:16,2021-08-21 21:44:16
7bbcd4290a144efbae687a5b74790f17,2b3b15b40a284895868e519fb1622dc9,2022-01-11 08:51:21,2022-01-11 08:51:21
b952899406e94a7c9b690cc7bbf08ee5,dbb8fd6d3d77469587d71361d1e75a01,2022-01-03 14:58:25,2022-01-03 14:58:25
b952899406e94a7c9b690cc7bbf08ee5,ad0fc0e12414437eb1e217d70a76d27e,2021-10-16 06:00:55,2021-10-16 06:00:55
9880b57d988b4672bcad2a3ffe32a3ec,6632c54e178c42e59df9309af86216fd,2021-09-01 20:50:55,2021-09-01 20:50:55
b952899406e94a7c9b690cc7bbf08ee5,33df67902d9442bea37b3743827acdc0,2021-10-20 03:14:07,2021-10-20 03:14:07
84f496f59c2c4d31a196c3b1bd994a16,1f208550c828477db7048053ad07d74f,2021-10-25 21:43:20,2021-10-25 21:43:20
a345c04ab8a24cefa1d0b88c94e78390,f096524453f24bbdbbd06f00ce0a9420,2021-09-20 13:31:09,2021-09-20 13:31:09
fec476701bdc4cf0993971d1d0e1afbb,d675fd47b0864c9abc88c61995758aa7,2021-11-17 21:00:14,2021-11-17 21:00:14
b952899406e94a7c9b690cc7bbf08ee5,9680de98decc4e4ab827cfc2135da772,2022-01-21 00:22:26,2022-01-21 00:22:26
b952899406e94a7c9b690cc7bbf08ee5,87824dd63e8143d4bbcc5fd2d5588aa4,2021-12-29 19:22:01,2021-12-29 19:22:01
a345c04ab8a24cefa1d0b88c94e78390,5c95e7dda7ae4c90a84e0246831f1f96,2021-12-16 21:05:40,2021-12-16 21:05:40
a345c04ab8a24cefa1d0b88c94e78390,f40a444834324d539d3bb2f3b2106e20,2021-12-24 08:14:52,2021-12-24 08:14:52
a1d3bf10ae564a9a92fca63502b41c0c,82b5ca41e9034451b4560779f49576f3,2022-01-03 07:36:47,2022-01-03 07:36:47
475ff55d355045e0886893e31d314fda,5765c9b608784d7d904da55df5da52ae,2021-09-07 06:06:45,2021-09-07 06:06:45
9880b57d988b4672bcad2a3ffe32a3ec,d84ec047922140c89087dbcaedf0f577,2021-09-24 00:53:48,2021-09-24 00:53:48
84f496f59c2c4d31a196c3b1bd994a16,a6ad3560ca25426e9a9b07cc285ff81f,2021-10-01 04:22:36,2021-10-01 04:22:36
475ff55d355045e0886893e31d314fda,0f9909d1c22843ed8f5866651455fc15,2021-10-31 03:45:46,2021-10-31 03:45:46
9880b57d988b4672bcad2a3ffe32a3ec,f20b128c296d4f76b97f7be595209b3f,2022-01-29 17:41:44,2022-01-29 17:41:44
b952899406e94a7c9b690cc7bbf08ee5,945beb5569094f62a2bfeceaf1aaab93,2021-10-01 07:18:34,2021-10-01 07:18:34
047e5a6634574806855c664716702823,7456d21c36f242579f179d6e5ac10bac,2021-10-28 00:08:12,2021-10-28 00:08:12
9880b57d988b4672bcad2a3ffe32a3ec,33df67902d9442bea37b3743827acdc0,2021-07-17 03:06:34,2021-07-17 03:06:34
a345c04ab8a24cefa1d0b88c94e78390,acba6f879c0e49b2bafd6d8534b7905b,2021-08-17 16:53:32,2021-08-17 16:53:32
9880b57d988b4672bcad2a3ffe32a3ec,77c17fde1c00444aae484a93141e8e53,2021-10-23 10:08:41,2021-10-23 10:08:41
d59c28ee1dd34c05a59a3e21a112215c,e697fc4edc54476f91f3fdcf75e85d87,2021-10-07 11:09:40,2021-10-07 11:09:40
7bbcd4290a144efbae687a5b74790f17,fd13240676b64b02aa7de1d073245157,2021-10-22 03:49:27,2021-10-22 03:49:27
